"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469000,465000,449900,455000,460000,480000,497000,499000,499900,499000,499900,499000,490000,469000,475000,499000,509000,529000,550000,557000,559000,559000,558888,559000,550000,550000,550000,565000,575000,585000,589000,599000,599000,595000,595000,599000,599000,595000,595000,598000,599999,619900,629000,624999,629000,629000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190000,189000,179900,194900,209900,223472.5,229900,230000,230000,229000,225000,219900,210000,199000,189900,204900,224876,228000,233000,234990,230000,229900,226000,225000,220000,215000,215000,225000,239900,249500,249999,250000,249000,242100,244900,239900,235000,229000,229900,246900,259000,265000,269000,269900,269900,263000
"Harris","TX","Houston","48","201",3,136900,140000,144778.5,145000,144900,144500,140000,142900,153000,151990,154000,149990,149900,149900,149900,149900,150000,152900,150000,149900,142900,143900,139900,140000,140000,140000,144900,146900,147900,149000,148725,149000,147000,147000,159000,160000,160000,169900,174000,177500,179900,179990,179995,180497.5,184900,189900,185997.5,187990,189500,197990,199992.5,210000,214997.5,214900,215000,219880,220486,223167,229000,235155,246390,254990,260990,269900,259900,250000,267990,269900,270657,274900,273990,279500,280490,269900,275000,275000,275000,275000,273990,270967.5,269000,265000,263990,259990,259900,264900,269900,274250,274990,274477.5,269500,268990
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235000,239000,235000,239000,244900,248900,249900,250000,249000,249000,249900,250000,249000,244900,250945,259900,265000,274000,275000,275000,269000,275000,275000,278000,279900,279900,280000,284000,285000,288000,289000,289500,285000,282500,284000,282449.5,282000,284900,284900,289500,290000,296500,299000,295000,294990,290000
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449900,451500,458444,465000,475000,489000,459000,483500,499000,495000,489500,485000,485000,475000,479700,490000,524000,534800,549000,525000,555000,550000,559000,559900,564000,575000,569000,569000,569000,575000,579000,579000,585000,579000,579000,575000,572400,575000,579000,589000,595000,615000,625000,624000,624900,620000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599900,599900,599000,599500,609000,625000,628000,635000,635000,635000,646235,639000,630000,619000,629000,646367.5,659000,669000,685000,695000,688750,685000,689000,689000,684500,689000,685000,689945,699000,699900,7e+05,712000,710000,709900,709000,716653.5,715000,715990,723990,729900,749000,755000,759900,749999,750000,755000
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,429000,436000,449000,449450,459000,450000,439000,449000,449000,449994.5,485000,479000,498250,486000,499000,499000,499000,499000,525000,525000,510000,549000,559000,550000,589000,586000,599950,619000,649000,669000,670000,650000,675000,679000,662200,675000,699000,724000,699000,749000,720000,730000,729000,748000,754000,760000,765000,769000,769000,779000,790000,785805,775000,779000,770000,758000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269900,269900,269000,269900,265000,270000,270000,270000,269900,274900,280000,282850,298500,299999,297985,309000,315000,310000,290000,295000,318000,320000,329000,330000,350000,359000,359990,364900,354900,369900,372000,370000,374900,370000,375500,375000,376995,379000,379000,380000,379990,380000,385000,389000,389000,385000
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,180000,175000,177500,187000,195000,2e+05,194500,194900,209900,199000,197000,189900,198999.5,199500,219900,229000,232888,235000,235000,225000,226250,235000,239000,239900,239000,235000,239140,259650,268964.5,275000,275450,273500,269950,274900,279000,275000,275000,277865,289900,295000,310000,319000,315000,309500,299900
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299999,299000,309000,299000,299650,310000,310000,319000,325000,329000,329999,339000,339000,335000,330000,349000,349475,349000,350000,359000,359000,365000,359000,360000,368000,369000,379999,388000,379000,389000,399000,399000,405000,410000,429000,420000,429000,439999,449000,450000,458000,460000,470000,475000,475000,475000,475000,470000,475000,479997,485000,489000,499000,510000,519000,518888,518817.5
